temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
5.0,0.9,-7.3,40.76,0.0,0,38.9,21.0,11,1029.9,0.0,16.0,680,2.4
5.1,1.0,-8.9,35.69,0.0,0,35.7,21.5,29,1030.7,0.0,16.0,585,2.1
5.7,2.3,-9.9,31.53,0.0,0,20.5,17.3,16,1031.3,0.0,16.0,438,1.6
5.7,1.5,-9.6,32.35,0.0,0,18.4,23.5,18,1031.7,0.0,16.0,226,0.8
4.4,1.1,-11.3,30.98,0.0,0,25.9,14.0,1,1032.0,0.0,16.0,71,0.3
2.8,0.0,-11.6,33.81,0.0,0,22.3,10.2,16,1032.7,0.9,16.0,9,0.0
1.7,-2.0,-10.7,39.31,0.0,0,20.5,12.9,8,1033.3,0.9,16.0,0,0.0
0.7,-2.1,-11.1,40.84,0.0,0,16.6,8.6,20,1033.8,0.9,16.0,0,0.0
-1.5,-3.7,-11.2,47.82,0.0,0,16.6,5.8,357,1034.5,0.0,16.0,0,0.0
-1.7,-3.9,-9.5,55.19,0.0,0,20.5,5.9,4,1034.8,0.0,16.0,0,0.0
-3.5,-3.5,-8.7,67.28,0.0,0,25.9,1.5,356,1034.4,0.0,16.0,0,0.0
-4.6,-4.6,-9.2,70.28,0.0,0,27.7,1.2,355,1033.8,0.0,16.0,0,0.0
-3.7,-6.2,-10.1,60.76,0.0,0,29.5,6.0,333,1033.8,0.9,16.0,0,0.0
-1.6,-5.2,-10.6,50.03,0.0,0,27.7,10.0,17,1033.4,1.6,16.0,0,0.0
-1.6,-5.6,-10.6,50.4,0.0,0,27.7,11.6,350,1033.8,1.6,16.0,0,0.0
-1.7,-5.6,-9.9,53.42,0.0,0,25.9,11.3,360,1033.9,2.9,16.0,0,0.0
-1.7,-6.0,-8.8,58.03,0.0,0,25.9,12.8,18,1034.4,2.9,16.0,0,0.0
-2.2,-6.2,-8.3,62.79,0.0,0,25.9,11.1,16,1034.8,2.9,16.0,8,0.0
-1.1,-5.3,-7.2,63.31,0.0,0,25.9,12.6,26,1035.0,2.9,16.0,62,0.2
0.1,-4.8,-7.1,58.28,0.0,0,27.7,17.8,19,1035.3,2.9,16.0,187,0.7
1.9,-2.1,-6.2,55.04,0.0,0,33.5,15.3,37,1035.1,2.9,16.0,373,1.3
2.9,-1.3,-7.1,47.6,0.0,0,33.5,18.7,46,1035.0,2.9,16.0,499,1.8
4.4,-0.1,-7.1,42.88,0.0,0,42.5,24.3,20,1034.6,2.9,16.0,654,2.4
